0.0	-92.0	150.0	168.0	171.0	-44.0	102.0
0.0	-106.0	143.0	151.0	147.0	-40.0	83.0	
0.0	-95.0	136.0	196.0	162.0	-31.0	83.0	
0.0	-92.0	155.0	146.0	133.0	-46.0	66.0	
0.0	-95.0	146.0	157.0	157.0	-30.0	83.0	
0.0	-92.0	179.0	234.0	132.0	132.0	141.0	
0.0	-263.0	-5.0	3.0	-6.0	-193.0	-60.0	
0.0	-237.0	-23.0	-3.0	-11.0	-194.0	-71.0	
0.0	-221.0	114.0	68.0	19.0	-181.0	-45.0	
0.0	-233.0	13.0	24.0	4.0	-188.0	-63.0	
0.0	-277.0	57.0	48.0	-46.0	-46.0	-26.0	
0.0	-244.0	109.0	42.0	35.0	-159.0	-46.0	
0.0	-240.0	18.0	15.0	8.0	-209.0	-55.0	
0.0	-243.0	14.0	23.0	23.0	-188.0	-48.0	
0.0	-250.0	-5.0	44.0	2.0	-199.0	-64.0	
0.0	-256.0	4.0	199.0	131.0	27.0	86.0	
0.0	-254.0	-4.0	25.0	17.0	-197.0	-68.0	
0.0	-254.0	28.0	71.0	-20.0	-48.0	-47.0	
