92.0	100.0	100.0	89.0	44.0	87.0	79.0
106.0	114.0	96.0	100.0	40.0	76.0	98.0	
95.0	103.0	104.0	108.0	31.0	86.0	93.0	
92.0	105.0	93.0	101.0	46.0	90.0	96.0	
95.0	113.0	99.0	96.0	30.0	91.0	90.0	
92.0	119.0	99.0	99.0	105.0	100.0	85.0	
113.0	121.0	110.0	104.0	43.0	83.0	78.0	
87.0	117.0	98.0	88.0	44.0	108.0	88.0	
71.0	89.0	85.0	86.0	31.0	95.0	90.0	
83.0	89.0	92.0	85.0	38.0	86.0	91.0	
127.0	141.0	77.0	94.0	104.0	102.0	88.0	
94.0	107.0	78.0	86.0	9.0	115.0	97.0	
90.0	105.0	109.0	96.0	59.0	109.0	96.0	
93.0	101.0	84.0	91.0	38.0	97.0	93.0	
100.0	115.0	90.0	118.0	49.0	84.0	95.0	
106.0	116.0	87.0	95.0	101.0	101.0	100.0	
104.0	112.0	106.0	84.0	47.0	96.0	101.0	
104.0	125.0	87.0	87.0	99.0	109.0	95.0	
